id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
612289973482163299,Enjoy ShipStays Hotel in Amsterdam!,18081564,Steven,,Oud-Noord,52.39995,4.8884,Entire home/apt,2688,2,0,,,2,363,0,Exempt
612771882888379983,Perfect cosy apartment in central Amsterdam,50519087,Femke,,De Baarsjes - Oud-West,52.37269,4.85604,Entire home/apt,199,2,6,2022-12-04,0.87,1,3,6,0363 94EF 5116 41FE C55B
626467830068661414,Cosy renovated apartment with lovely terrace,84197966,Brechje,,De Baarsjes - Oud-West,52.36156,4.86471,Entire home/apt,460,2,3,2022-09-17,0.49,1,0,3,0363 7C60 51A9 9237 E292
52329284,Mooi appartement met tuin vlakbij oosterpark,118023680,Nikki,,Oud-Oost,52.35266,4.92079,Entire home/apt,150,4,0,,,1,0,0,0363 C077 E166 1EE4 E8BE
626569183713845105,Grachtenpand 2 verdiepingen met dakterras,19223862,Rosie,,De Baarsjes - Oud-West,52.369392,4.868725,Entire home/apt,165,20,0,,,1,0,0,0363 4034 FD19 FC07 CE8F
626610547000369019,Lovely appartment with garden in Amsterdam,366935526,Sofia,,De Baarsjes - Oud-West,52.36258,4.85586,Entire home/apt,210,4,1,2022-06-18,0.18,1,0,1,0363 ED62 683A 7E3E C6FA
627169686444873266,"Spacious apartment with garden, close to centre",17359905,Mark,,De Baarsjes - Oud-West,52.36365,4.85266,Entire home/apt,275,3,7,2022-09-26,1.19,1,69,7,
612900007919508138,"#Amsterdam #Schiphol Airport
# Private Room",10078997,Gina,,De Aker - Nieuw Sloten,52.344265,4.808304,Private room,92,1,47,2022-11-06,6.41,1,81,47,0363 3495 9294 8E96 B847
612953692790200756,Apartment next to the Vondelpark,9557169,Jolijn,,De Baarsjes - Oud-West,52.36326,4.87907,Entire home/apt,186,2,4,2022-10-16,0.57,1,54,4,0363C1E5EB9149EF2CBD
52334977,Elegant studio in #1 neighbourhood 'De Jordaan',423577787,Joost,,Centrum-West,52.37871,4.88544,Entire home/apt,379,1,23,2022-11-27,1.67,1,360,19,0363 1A5C FE83 469F F55F
613435024662409206,Welcoming 1-bedroom private suite w/ free parking,3895097,Jill,,Noord-West,52.422314,4.90197,Private room,102,2,40,2022-11-18,6.19,1,81,40,0363C6FC9801A216FCD3
613469769708738317,Freshly renovated apartment in Museum quarter,105123527,Jet,,Zuid,52.354008,4.885897,Entire home/apt,280,2,4,2022-07-20,0.61,1,19,4,0363 DEDF B0CB 1CCE A5C9
613482885448341266,Private bedroom/bathroom near Amsterdam citycentre,387298665,Dominic,,Noord-Oost,52.39872,4.92938,Private room,116,1,15,2022-10-09,3.69,1,318,15,0363 8231 9CB7 2720 ED52
627261223916921960,Lovely apartment with free parking space in A'dam,107795292,Mekky,,Bijlmer-Oost,52.317535,4.970111,Entire home/apt,99,5,2,2022-09-30,0.45,1,4,2,0363 3859 CB18 5C6B 1044
627279191126213084,Beautiful loft apartment in centre of Amsterdam,459169257,Naomi,,De Pijp - Rivierenbuurt,52.355057,4.905584,Entire home/apt,215,3,6,2022-11-20,1.10,1,10,6,0363 B726 639D D076 491F
627395418044255436,Comfortable appartment in the vibrant Bolo area,459152808,Tom,,Bos en Lommer,52.38035,4.85638,Entire home/apt,200,2,1,2022-05-23,0.15,1,120,1,0363 2CDB 9CF5 9FF7 3E9D
627476489305239298,Appartement in “de Pijp” Amsterdam,187412264,Britt,,De Pijp - Rivierenbuurt,52.35504,4.90168,Entire home/apt,500,2,8,2022-10-24,1.35,1,14,8,0363 9EC0 FF3C ECCF 65B5
627519532626395402,Comfortable Apartment in Lively Amsterdam-East,6909844,Annemarie,,Oostelijk Havengebied - Indische Buurt,52.36526,4.94509,Entire home/apt,250,7,5,2022-10-23,1.09,1,0,5,0363 AB09 FACE 4799 FD2C
627521518261665254,Gezellig dijkhuis in een prachtige omgeving,38899262,Steven,,Oud-Noord,52.39055,4.9309,Entire home/apt,225,5,0,,,1,58,0,0363 6DB3 2217 9A18 4B34
613500478135914459,Beautiful appartment at Catalonia Vondel Amsterdam,428344496,Catalonia Vondel Amsterdam,,De Baarsjes - Oud-West,52.36364,4.87729,Private room,409,1,2,2022-10-30,0.33,8,312,2,Exempt
614937753282933562,Splendid loft with garden in the heart of AMS,16582675,Aldin,,Centrum-Oost,52.36279,4.88825,Entire home/apt,400,2,5,2022-10-25,0.76,1,25,5,0363 C95A 55B6 0903 2C2B
614998979591681405,"Bright, furnished, centrally located appartment",26907708,Michelle,,De Baarsjes - Oud-West,52.360111,4.851982,Entire home/apt,200,1,5,2022-10-23,0.73,1,4,5,0363 94B0 C08B 08F7 5ECD
615162266619539684,"Lichte, ruime, fijne woning in Amsterdam met tuin",33051833,Lovisa,,Slotervaart,52.35286,4.822,Entire home/apt,175,2,7,2022-10-17,1.54,1,78,7,0363 EA57 6341 E943 633D
627585110864296196,Lovely apartment Amsterdam,340475366,Monika,,De Baarsjes - Oud-West,52.367264,4.87167,Entire home/apt,400,1,6,2022-10-02,0.94,1,360,6,0363 072E 29BE CA3B 1DB2
615691151979692627,"Sunny appartment in De Pijp, Amsterdam",9925275,Anais,,De Pijp - Rivierenbuurt,52.352,4.89404,Entire home/apt,220,2,6,2022-09-25,0.97,1,5,6,0363 3795 9BAA A972 8E27
615857574806039717,Spacious 2p apartment Amsterdam city,272440801,Ben Antoine,,De Pijp - Rivierenbuurt,52.34715,4.90258,Entire home/apt,275,2,6,2022-12-01,0.94,1,39,6,0363 AD04 6139 9E72 6B14
627891417402690059,2 slpk appartement met ruime mooie tuin,4398501,Martin,,De Baarsjes - Oud-West,52.36038940009922,4.855369439627787,Entire home/apt,400,3,1,2022-06-07,0.16,1,343,1,0363 8D2D B751 F7CC 063E
52348306,Unieke waterwoning met uitzicht Amsterdam-Noord,1637104,Saskia,,Oud-Noord,52.3946,4.90585,Entire home/apt,220,4,1,2022-10-31,0.83,1,124,1,0363 3F04 FA7C 3BE8 47F5
628027182494117159,Spacius apartment in Amsterdam,12408483,Leon & Violet,,IJburg - Zeeburgereiland,52.37209,4.96994,Entire home/apt,335,2,8,2022-09-04,1.25,1,9,8,0363 2595 FA55 1147 FF29
628060702484575771,"Appartement Centrally located in ""de Pijp""+terrace",121207653,Jeroen,,De Pijp - Rivierenbuurt,52.353027,4.8916,Entire home/apt,275,2,8,2022-11-13,1.61,1,13,8,0363 39F9 4075 561D 14DF
628060956224433166,light apartment | Beethovenstraat,21572827,Hetty,,Zuid,52.34821,4.87805,Entire home/apt,240,2,12,2022-11-17,2.81,3,158,12,0363 4705 BEE4 7BF9 5327
616386590175292607,Cute apartment with park & canal view in Amsterdam,3090623,Sofia,,Bos en Lommer,52.37621,4.85591,Entire home/apt,195,4,4,2022-08-20,0.63,1,44,4,0363 D3A7 50FC 45EA B1C3
616399692682639237,Beautiful private apartment - 2/4p,23932449,Elise,,De Pijp - Rivierenbuurt,52.343983,4.895907,Entire home/apt,194,2,9,2022-10-09,1.27,1,9,9,0363 41BF 5845 68CC 0DFE
